Week,CO2_Emission_g,Distance_NM,Avg_Speed,Avg_Wind_Speed,Avg_CppPitch,Avg_Heel,Avg_Trim,Avg_Draft
2024-03-04/2024-03-10,496675171.404,1738.87,17.176852156733617,11.636450444517617,21.93819558775107,0.13539512676983864,0.799683898584129,6.553080342443201
2024-03-11/2024-03-17,552633137.946,1850.4533333333334,16.73104279686558,10.673372513562388,21.127667269439424,0.23449065702230257,0.7250663050030138,6.533423749246534
2024-03-18/2024-03-24,543023414.91,1870.695,16.82784107946027,10.612698650674663,21.36542728635682,0.2345247376311844,0.7508710644677662,6.621056221889056
2024-03-25/2024-03-31,406700513.46,1206.6366666666668,16.495374800637958,9.688152198678516,20.963750284802916,0.28806561859193436,0.9094144452039189,6.5401161995898835
2024-04-01/2024-04-07,644709344.184,2151.95,17.841232554926073,8.455934779604808,21.62147298604394,0.3210197595688821,0.5026848141495095,6.610688821334807
2024-04-08/2024-04-14,630149718.852,2132.135,18.01550485847064,8.188550908322771,21.760188705816084,0.26281509646528656,0.5931305449936628,6.47425855513308
2024-04-15/2024-04-21,624406721.238,2109.315,17.792619148038803,8.100871643469704,21.632335160972865,0.17699985941234359,0.6905834387740756,6.4446956277238865
2024-04-22/2024-04-28,484377565.014,1652.0683333333334,16.65671315745253,8.55331876995463,21.38820366324987,0.310660393211225,0.8462728953117123,6.452618887581919
2024-04-29/2024-05-05,518696681.868,1898.15,16.96544019067481,7.906167138388202,21.742708178161774,0.2254446596156711,0.8107299270072993,6.621204379562044
2024-05-06/2024-05-12,525791336.094,1907.0466666666666,16.839264164827078,8.6013097866078,21.469992641648272,0.26941721854304634,0.8190787343635026,6.585723325974981
2024-05-13/2024-05-19,565921341.99,1879.0316666666668,17.08987418523571,8.480763983628922,21.320539639229953,0.2950280430498711,0.8469198120357738,6.54814991662877
2024-05-20/2024-05-26,518499179.532,1849.3566666666666,16.907115648331555,7.953420691756819,21.249733353649244,0.3109142160597288,0.7944598506780436,6.561112296206003
2024-05-27/2024-06-02,532203990.066,1887.4966666666667,17.164261897544712,8.60377387086996,21.58472264322522,0.2615413761745984,0.8964186117005153,6.536513337374962
2024-06-03/2024-06-09,270599802.138,861.7216666666667,17.280514705882354,8.210695187165776,21.00230614973262,0.2808255347593583,0.8933221925133691,6.530808823529412
